REGION,COUNTRY,NAME,LAT,LON,LAT_DEG,LAT_MIN,LAT_HEMI,LON_DEG,LON_MIN,LON_HEMI,INDEX_NO,Field10,Field11,Combo192,Combo206,Combo210,Combo196,Combo218,Combo198,Combo216,Combo231,Combo223,Combo225,Combo234,Combo236,Field24,Combo238,Combo240,Combo242,Combo244,Combo246,Combo248,Combo254,Combo256,Combo258,Combo260,Combo264,Combo262,Combo266,Combo268,Combo270,Combo272,Combo274,Combo276,Combo278,Combo280,Combo282,Combo284,Combo288,Combo290,Combo292,Combo294,Combo296,Combo304,Combo300,Combo302,Combo306,Combo308,Combo310,Combo312,Combo317,Combo321,Combo319,Combo323,Combo325,Combo327,Combo329,Combo332,Combo335,Combo337,Combo339,Combo341,Combo343,Combo345,Combo347,Combo349,Combo351
18080,CA,PORT SAN JUAN,48.55,-124.43333333333334,48,33,N,124,26,W,18705,154,18460,V,CN,G,N,N,N,Y,N,K,F,O,,5,M,,,Y,N,Y,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,N,,,,,,,,,,,,,,,,,,,,,
18080,CA,PORT ALBERNI,49.233333333333334,-124.81666666666666,49,14,N,124,49,W,18730,154,,S,RN,G,N,N,N,Y,N,A,C,H,K,4,L,Y,Y,Y,N,Y,Y,Y,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,B,,S
18080,CA,UCLUELET,48.95,-125.55,48,57,N,125,33,W,18760,154,,V,CN,F,N,N,N,Y,N,P,M,M,N,3,M,Y,,Y,N,Y,Y,Y,,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,Y,N,,N,,,,,,,,N,N,N,N,N,Y,Y,Y,Y,Y,Y,C,,S
18080,CA,CLAYOQUOT,49.15,-125.91666666666667,49,9,N,125,55,W,18780,154,,V,CN,F,N,N,N,Y,N,N,M,O,,7,M,,,N,N,N,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,N,,,,,,,,,,,,,Y,Y,,,,,,,
18080,CA,AHOUSAT,49.28333333333333,-126.06666666666666,49,17,N,126,4,W,18790,154,,V,CN,F,,,,,,,,N,,0,,,,,,,,Y,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,
18080,CA,GOLD RIVER,49.68333333333333,-126.11666666666666,49,41,N,126,7,W,18792,154,,V,RN,F,,,,Y,,,,K,,4,L,,,Y,,Y,Y,,,,,Y,Y,Y,,,,Y,,,,,Y,,,,,,,N,,Y,,,,,,Y,,,,,Y,Y,Y,Y,,,C,,
18080,CA,TAHSIS,49.916666666666664,-126.66666666666667,49,55,N,126,40,W,18805,154,,V,CN,E,N,N,N,Y,Y,A,A,J,,4,L,Y,Y,Y,N,Y,Y,Y,,Y,,Y,Y,Y,,Y,,Y,,Y,,Y,Y,,,Y,Y,,,N,,,,,,,,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,C,,S
18080,CA,BERGH COVE,50.53333333333333,-127.61666666666666,50,32,N,127,37,W,18818,154,,V,CN,G,N,N,N,Y,N,A,,N,,3,M,,,Y,N,N,,Y,,,,,,,,Y,,,,,,Y,,,,,,,,N,,,,,,,,,,,,,,,,Y,,,,,
18080,CA,PORT ALICE,50.38333333333333,-127.45,50,23,N,127,27,W,18820,154,,S,CN,G,N,N,N,Y,N,A,A,K,K,4,L,,,N,N,Y,Y,Y,,Y,,Y,Y,Y,,Y,,,,,,Y,Y,,,,Y,N,,N,,Y,,,,,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,C,,
18080,CA,COAL HARBOR,50.6,-127.58333333333333,50,36,N,127,35,W,18835,154,,V,CN,G,N,N,N,Y,N,D,B,M,,7,M,Y,Y,N,N,N,,Y,,,,,,,,Y,,Y,,,,Y,Y,,,,,,,N,,,,,,,,,,,,,Y,Y,Y,Y,,Y,C,,S
18080,CA,PORT HARDY,50.71666666666667,-127.48333333333333,50,43,N,127,29,W,18840,154,CA3548,V,CN,G,N,N,N,Y,N,A,A,M,,3,M,,,N,N,Y,Y,Y,,,,,Y,Y,,Y,,Y,,Y,,Y,Y,,,,Y,Y,,N,,,,,,,,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,,,
18080,CA,SOINTULA,50.63333333333333,-127.01666666666667,50,38,N,127,1,W,18850,154,,V,CN,F,N,N,N,Y,N,A,E,K,N,3,M,,,N,N,N,,Y,,,,,,,,Y,,,,Y,,Y,Y,,,,,,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,
18080,CA,ALERT BAY,50.583333333333336,-126.93333333333334,50,35,N,126,56,W,18860,154,,V,CN,F,Y,N,N,Y,N,G,H,L,,3,L,Y,Y,N,N,N,Y,Y,,,,,,,,Y,Y,,Y,Y,,Y,Y,,,,Y,,,N,,,,,,,,,,,,,,Y,,Y,,,C,,
18080,CA,PORT MCNEILL,50.583333333333336,-127.08333333333333,50,35,N,127,5,W,18872,154,,V,CN,F,N,N,N,Y,N,J,F,M,J,3,M,,,N,N,N,Y,,,,,,Y,,,Y,,,Y,Y,,Y,Y,,,,N,Y,,N,,,,,,,,N,N,N,N,N,Y,Y,N,Y,N,N,,,
18080,CA,BELLA COOLA,52.36666666666667,-126.8,52,22,N,126,48,W,18890,154,17003,V,CN,F,N,N,N,Y,N,,A,M,,10,L,,,Y,N,Y,Y,,,,,,Y,Y,,Y,Y,Y,,Y,,Y,Y,,,,,,,N,,,,,,,,,,,,,,,,Y,,,,,
18080,CA,BELLA BELLA,52.166666666666664,-128.15,52,10,N,128,9,W,18915,154,,V,CN,F,Y,N,N,Y,N,A,A,M,M,3,,,,N,N,N,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,N,Y,,,,,,Y,,,,,,Y,Y,,Y,,,,,
18080,CA,KLEMTU,52.6,-128.51666666666668,52,36,N,128,31,W,18916,154,,V,CN,G,N,N,,Y,N,G,B,L,N,0,M,Y,,N,N,N,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,N,,,,,,,,,,,,,,Y,,Y,,,,,
18080,CA,BUTEDALE,53.166666666666664,-128.68333333333334,53,10,N,128,41,W,18920,154,,V,CN,F,N,N,N,Y,N,,,K,M,9,,,,N,N,N,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,S
18080,CA,KEMANO BAY,53.483333333333334,-128.13333333333333,53,29,N,128,8,W,18923,154,17460,V,RB,G,N,N,N,Y,,A,A,M,,11,M,,,,,Y,Y,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,N,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,,,
